Class_70,Class_71,Class_72,Class_74,Class_250,Class_75,Class_76,Class_77,Class_sum,Class_254,Class_131,Class_2,Class_1,Class_4,Class_3,Class_6,Class_5,Class_60,Class_61,Class_240,Class_66,Class_67,Class_122,Class_243,Class_68,Class_123,Class_244,Class_69,Class_241,Class_121,Class_242,Class_247,Class_124,Class_245,Class_246,Class_249,Class_92,Class_190,Class_195,Class_10,Class_11,Class_12,Class_111,Class_232,Class_13,Class_112,Class_233,Class_14,Class_231,Class_236,Class_237,Class_238,Class_221,Class_222,Class_220,Class_225,Class_226,Class_224,Class_229,Class_227,Class_30,Class_31,Class_32,Class_33,Class_34,Class_35,Class_211,Class_36,Class_37,Class_176,Class_38,Class_214,Class_39,Class_215,Class_212,Class_213,Class_218,Class_219,Class_216,Class_217,Class_21,Class_22,Class_23,Class_24,Class_25,Class_26,Class_27,Class_28,Class_204,Class_29,Class_207,Class_208,Class_205,Class_206,Class_209,Class_50,Class_51,Class_52,Class_53,Class_152,Class_54,Class_55,Class_56,Class_57,Class_58,Class_59,Class_41,Class_42,Class_141,Class_43,Class_44,Class_45,Class_46,Class_47,Class_142,Class_48,Class_143,Class_49,STATENS,GEOID,AWATER,LSAD,STUSPS,STATEFP,FUNCSTAT,INTPTLAT,DIVISION,REGION,NAME,INTPTLON,MTFCC,ALAND,system:index
0,0,0,0,0,0,0,0,200327.29,0,50.57,0,40433.92,797.07,0,89.48,23626.62,0,3337.97,0,0,0,1173.5,0,0,285.32,0,0,0.2,3733.45,0,0,135.95,0,0,0,0,1692.77,2127.77,0,0,0,1802.18,0,196.47,0,0,0,0,1.63,0,0,0,0,0,4.02,0,0,0.07,0,0,0,0,0,0,0,0,3313.98,506.08,107536.49,0,0,0,0,0,0,0,0,0,0,7.4,0,10.28,4163.17,0,1.17,77.76,226.88,0,480.58,0,0,22.43,0,0,0,0,0.96,157.07,14.78,0,0,0,0.07,0.14,4.61,142.0,448.12,2556.24,37.11,7.74,0,0,0,955.17,0,168.1,0,01779792,31,1371829134,00,NE,31,A,+41.5433053,4,2,Nebraska,-099.8118646,G4000,198956658395,00000000000000000011
0,0,0,0,0,0,0,0,183106.10000000003,0,312.37,0,12078.62,63.64,0,1558.66,30175.11,0,420.5,0,0,0,429.86,0,0,146.44,0,0,0,6229.17,0,0.12,29.16,0,2.1,0,0,915.65,5378.2,0,0,0,6765.7,0,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,6471.33,438.07,13.42,0,21.96,0,2162.66,5164.47,60096.43,0,0,15.67,0,0,0,0,0,0,0,1034.38,4011.95,28632.3,177.89,0,0,72.16,498.77,0,167.07,0,0,17.66,0,0,0,0,709.89,1441.91,1364.31,0,0,0,0,1.48,3.62,811.77,2207.97,2680.24,231.52,4.15,0,0,0,137.75,0,9.19,0.69,01779797,38,4403267548,00,ND,38,A,+47.4421740,4,2,North Dakota,-100.4608258,G4000,178707534813,00000000000000000020
0,0,0,1.84,0,0,0,0,180539.68999999997,0.35,112.94,1294.7,14001.02,25.94,826.3,0,23688.16,0,12.94,0.64,0,2.38,2836.34,0,0,789.77,0,0,0,5557.93,0,0,328.27,0,0,0,0,2198.84,264.36,7.46,0,0,2477.94,0,64.66,0,0,0,0,1.19,0,0.36,0,0,0,1.06,0.14,0,0.65,0,0,0,0,0,0,0,0,74.86,4289.03,45677.16,0,0,0,0,0,0,0,0,0,0,0.14,0,0,223.19,0,1564.83,1.6,2.63,0,0.98,0,0,0.71,0,0,0,0,0,0.63,28.62,0,0,0,0.5,4.69,33.76,0,0,72598.15,3.3,0.07,0,0.36,0,1422.87,0.56,114.87,0,01779791,29,2489425460,00,MO,29,A,+38.3507500,4,2,Missouri,-092.4567826,G4000,178050802184,0000000000000000002d
0,0,0,0.14,0,0,0,0,213099.68000000002,1.75,63.94,458.49,21878.62,10812.46,0.21,50.83,16926.6,0,12509.17,2.69,0,0,1917.27,0,0,403.38,0,0,0,6337.19,0,0,165.83,0,0,0,0,916.62,44.0,0,0,0,1636.87,0,0,0,0,0,0,288.18,1.7,3.71,0,0,0,31.29,0.84,0.07,0,0,0,103.11,0,0,0,0,0,2036.35,1218.14,93807.54,0,0,0,0,0,0,0,0,0,0,11.0,0,0.77,28886.46,0,2175.62,250.2,143.27,0,6.62,0,0,232.7,0,0,0,0,0,25.74,886.13,0,0,0,0.51,4.44,8.04,0,2.0,8820.62,2.06,4.77,0,0,0,6.4,0,15.34,0,00481813,20,1344141205,00,KS,20,A,+38.4985464,4,2,Kansas,-098.3834298,G4000,211755344060,0000000000000000002f
0,0,0,0,0,0,0,0,199729.16,0,1651.7,0,22720.49,1001.44,0,2256.14,24996.89,0,1170.43,0,0,0,395.48,0,0,176.5,0,0,0,4150.83,0,0,46.31,0,0,0,0,662.64,1162.38,0,0,0,5424.69,0,5.94,0,0,0,0,2.48,0,0,0,0,0,0.26,0,0,0,0,0,9.25,8.67,61.91,0,0,0,3690.19,8935.15,102881.19,0,0,9.2,0,0,0,0,0,0,0,104.15,5.02,4380.31,3274.31,0,0,83.57,890.76,0,633.24,0,0,20.68,0,0,0,0,7.65,78.4,2164.27,0,0,0,0,0,7.66,0,49.52,689.19,0,15.68,0,0,0.13,5789.3,0,115.16,0,01785534,46,3382720225,00,SD,46,A,+44.4467957,4,2,South Dakota,-100.2381762,G4000,196346981786,00000000000000000032
0,0,0,0,0,0,0,0,145744.85000000006,0,63.14,0,55201.05,2.83,0,0,41801.04,0.07,21.82,0,0,0,1812.3,0,0,460.28,0,0,0,6879.88,0,0,142.59,0,0,0,0,1534.38,776.76,0,0,0,1351.54,0,20.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26,0,0,0,0,1411.93,1709.92,19916.75,0,0,0,0,0,0,0,0,0,0,0.53,0,1.33,23.28,0,1.41,3.83,187.71,0,0.13,0,0,0.34,0,0,0,0,0,2.18,17.32,0,0,0,0,0.27,8.6,0,0,12341.18,0.81,0.07,0,0,0,13.65,0,34.86,0,01779785,19,1084180812,00,IA,19,A,+42.0700243,4,2,Iowa,-093.4933473,G4000,144661267977,00000000000000000036
0.98,0,0,0,0,0,0,0,62754.95999999999,0.21,398.39,0,177.71,0.07,0,0,104.84,0,7.47,0,0,0.49,578.6,0,16.6,299.76,0,0,0,1634.1,0,0.07,65.58,0,0,0,0,1.19,8.51,0,0,0,482.3,0,0,0,0,0,0,0,0.42,0,0,0,0,0.14,0,0,0.07,0,0,0,0,0,0,0,0,17.85,2072.41,1634.35,0,0,0,0,0,0,0,0,0,0,1.47,0,0,3.34,0,12.04,0.35,0.07,0,0,0,0,0,0,0,0,0,0,0,6.34,0,0,0,0,0.28,0.14,0,0,54169.38,0,0,0,0,0,686.88,0,372.56,0,01779805,54,489028543,00,WV,54,A,+38.6472854,5,3,West Virginia,-080.6183274,G4000,62266474513,00000000000000000000
0,221.59,312.71,106.34,0,0,0,0,147691.16999999998,0,651.66,725.34,404.51,4.12,0,0,52.64,0,1594.09,1.01,0,30.34,6317.05,8.48,0,2904.97,0,8.68,3.01,10955.8,2.05,0,736.88,0,22.03,0,0.23,39961.79,13997.1,892.77,1.95,0,5846.68,0,0,0,0,0,0,0.15,0,2.7,61.37,0.78,0,4.81,2.32,0,0.08,0,0,0,0,0,0,0,2.98,1.02,1947.24,14029.95,0,0,0,27.25,3282.87,0,0,0,3.83,0,0,0,0,10.56,0,0,32.71,73.07,0,28.0,0,0,0,0,0.54,3.29,0,0,16.82,12578.7,2.76,0,0,0,0.31,194.56,0,4.87,8.64,92.28,2.4,1890.87,6.88,0,27514.71,25.56,72.39,0,00294478,12,31361101223,00,FL,12,A,+28.4574302,5,3,Florida,-082.4091477,G4000,138949136250,00000000000000000001
1.25,0,0,0,0,0,0,0,26440.05,52.56,86.19,0,2145.66,13.1,0,0,2149.42,0.63,62.49,0.14,0,1.11,1233.4,0,2.68,544.97,0,0.21,5.6,2529.73,0.07,0,185.69,0,0,0,0,3050.85,970.73,0,0,0,926.51,0,0,0,0,0,0,2.59,4.8,0,0,0,0,5.36,0.56,0,0.21,0,0,0,0,0,0,0,0,46.21,673.99,1330.23,0,0,0,0,0,0,0.07,0,0.56,0,3.07,0,0,21.84,0,558.56,1.04,0.62,0,0.28,0,0,0.48,0,0.07,0,0,0,0.2,88.42,0,0,0.07,0,0.14,16.21,0,3.26,9198.54,2.46,0.14,0,0,0,475.07,10.7,31.31,0,01714934,24,6979966958,00,MD,24,A,+38.9466584,5,3,Maryland,-076.6744939,G4000,25151100280,00000000000000000004
1.45,0,0,0.58,0,0,0,0,128412.48000000003,13.02,345.25,1960.79,4576.19,8.69,0,0.07,7984.44,0,690.6,12.63,0,1.75,2678.61,1.09,39.45,1005.41,0,3.43,0,8334.73,9.01,0.15,298.19,0,0,0,0.59,19628.38,1648.76,336.11,610.16,0,2242.79,0,0,0,0,0,0,0.95,6.21,0.8,0,1.25,0,16.76,0.66,0,2.75,0,0,0,0,0,6.77,0,0,3.21,2887.79,5680.55,0,0.29,0,0,0,0,0,1.4,0.44,0,0.95,0,0,100.22,0,1740.08,18.83,1.46,0,8.42,0,0,1.24,0,1.1,2.63,0,0,4.58,6816.69,2.34,0,0,7.77,0,149.81,0.22,0.81,44090.19,4.06,2.64,0,235.56,0.22,14131.52,5.41,43.36,0.22,01027616,37,13466071395,00,NC,37,A,+35.5397100,5,3,North Carolina,-079.1308636,G4000,125923656064,00000000000000000008
